0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:39:55 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 4579
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:39:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:40:04 +0900] "GET /BBS/createTeam.jsp HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:40:04 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 4578
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:40:07 +0900] "GET /BBS/createTeam.jsp HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:40:07 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 4578
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:40:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:40:25 +0900] "GET /BBS/createTeam.jsp HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:40:25 +0900] "GET /BBS/style/style.css HTTP/1.1" 200 4596
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:40:35 +0900] "GET /BBS/createTeam.jsp HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:40:35 +0900] "GET /BBS/style/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:40:44 +0900] "GET /BBS/createTeam.jsp HTTP/1.1" 200 1865
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:40:44 +0900] "GET /BBS/style/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:41:01 +0900] "GET /BBS/createTeam.jsp HTTP/1.1" 200 1877
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:41:01 +0900] "GET /BBS/style/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:41:06 +0900] "GET /BBS/execute.jsp?process=logout HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:41:06 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 105689
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:41:06 +0900] "GET /BBS/style/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:41:06 +0900] "GET /BBS/execute.jsp?process=getCardList HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:41:06 +0900] "GET /BBS/execute.jsp?iftmSeq=0&process=getRegionList HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:41:06 +0900] "GET /BBS/execute.jsp?process=getRecommendList&ifmbId=guest HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:41:06 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:41:14 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:41:14 +0900] "GET /BBS/style/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:41:20 +0900] "POST /BBS/execute.jsp?process=login HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:41:21 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 105775
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:41:21 +0900] "GET /BBS/style/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:41:21 +0900] "GET /BBS/execute.jsp?process=getCardList HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:41:21 +0900] "GET /BBS/execute.jsp?iftmSeq=0&process=getRegionList HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:41:21 +0900] "GET /BBS/execute.jsp?process=getRecommendList&ifmbId=test7 HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:41:22 +0900] "GET /BBS/team.jsp HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [20/Dec/2021:21:41:24 +0900] "GET /BBS/createTeam.jsp HTTP/1.1" 200 1877
